"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"1","FeatureCollection Feature Point",36.0399444,-78.9778333,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391920","NANCY RHODES CR ABV ROCKY SPRINGS RD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-020850391920/",4,0,"North Carolina","Durham County"
"2","FeatureCollection Feature Point",36.0431389,-78.9746111,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391940","NANCY RHODES CREEK ABV FERRAND DRIVE AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-020850391940/",4,0,"North Carolina","Durham County"
"3","FeatureCollection Feature Point",36.04175,-78.9742222,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391960","NANCY RHODES CR TRIB ADJ FERRAND DR AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-020850391960/",4,0,"North Carolina","Durham County"
"4","FeatureCollection Feature Point",36.0220875,-78.9361197,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086720","ELLERBE CR AT HILLANDALE RD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086720/",0,0,"North Carolina","Durham County"
"5","FeatureCollection Feature Point",36.0288111,-78.9022639,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208675009","ELLERBE CREEK AT WEST MURRAY AVENUE AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208675009/",25,167,"North Carolina","Durham County"
"6","FeatureCollection Feature Point",36.0193889,-78.8947778,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208675010","ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208675010/",12,276,"North Carolina","Durham County"
"7","FeatureCollection Feature Point",36.0193101,-78.9136193,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086760","DYE CREEK AT GUESS ROAD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086760/",0,0,"North Carolina","Durham County"
"8","FeatureCollection Feature Point",36.0286667,-78.9025833,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360143078540945","RAINGAGE AT WEST MURRAY AVENUE AT DURHAM, NC","Atmosphere","Atmosphere","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360143078540945/",0,0,"North Carolina","Durham County"
"9","FeatureCollection Feature Point",36.0418094,-78.949731,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360230078570001","CROASDILA COUNTY CLUB - 3251","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360230078570001/",0,0,"North Carolina","Durham County"
"10","FeatureCollection Feature Point",36.017,-78.915,"STORET","21NC01WQ","NCDENR-DWQ","21NC01WQ-J1270000","ELLERBE CRK TRIB ATW CLUB BLVD DR INACT 770929","River/Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/STORET/21NC01WQ/21NC01WQ-J1270000/",179,1731,"North Carolina","Durham County"
"11","FeatureCollection Feature Point",36.017,-78.915,"STORET","21NC02WQ","NCDENR-DWQ (2nd)","21NC02WQ-J1270000","ELLERBE CRK TRIB ATW CLUB BLVD DR","River/Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/STORET/21NC02WQ/21NC02WQ-J1270000/",0,0,"North Carolina","Durham County"
