"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"1","FeatureCollection Feature Point",36.0594167,-78.9780833,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02085039","ENO RIVER AT COLE MILL RD NR HUCKLEBERRY SPRING","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02085039/",0,0,"North Carolina","Durham County"
"2","FeatureCollection Feature Point",36.0399444,-78.9778333,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391920","NANCY RHODES CR ABV ROCKY SPRINGS RD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-020850391920/",4,0,"North Carolina","Durham County"
"3","FeatureCollection Feature Point",36.0431389,-78.9746111,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391940","NANCY RHODES CREEK ABV FERRAND DRIVE AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-020850391940/",4,0,"North Carolina","Durham County"
"4","FeatureCollection Feature Point",36.04175,-78.9742222,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391960","NANCY RHODES CR TRIB ADJ FERRAND DR AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-020850391960/",4,0,"North Carolina","Durham County"
"5","FeatureCollection Feature Point",36.0479167,-78.9702778,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208503920","NANCY RHODES CR ABOVE COLE MILL ROAD NR DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208503920/",12,815,"North Carolina","Durham County"
"6","FeatureCollection Feature Point",36.0734722,-78.9516111,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208503990","ENO RIVER TRIB BL CLOVER HILL PLACE NR DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208503990/",15,758,"North Carolina","Durham County"
"7","FeatureCollection Feature Point",36.0579722,-78.9103333,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02085064","BLACK MEADOW RUN ABOVE VALLEY DRIVE AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02085064/",3,0,"North Carolina","Durham County"
"8","FeatureCollection Feature Point",36.0603056,-78.9100278,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02085066","BLACK MEADOW RUN ABOVE ARGONNE DRIVE AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02085066/",7,4,"North Carolina","Durham County"
"9","FeatureCollection Feature Point",36.0629167,-78.9102222,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02085067","BLACK MEADOW RUN AT ARGONNE DRIVE NEAR DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02085067/",188,960,"North Carolina","Durham County"
"10","FeatureCollection Feature Point",36.0722222,-78.9077778,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02085070","ENO RIVER NEAR DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02085070/",64,1415,"North Carolina","Durham County"
"11","FeatureCollection Feature Point",36.0720883,-78.8627848,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02085079","ENO RIVER NEAR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02085079/",193,10630,"North Carolina","Durham County"
"12","FeatureCollection Feature Point",36.0220875,-78.9361197,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086720","ELLERBE CR AT HILLANDALE RD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086720/",0,0,"North Carolina","Durham County"
"13","FeatureCollection Feature Point",36.0288111,-78.9022639,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208675009","ELLERBE CREEK AT WEST MURRAY AVENUE AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208675009/",25,167,"North Carolina","Durham County"
"14","FeatureCollection Feature Point",36.0193889,-78.8947778,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208675010","ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208675010/",12,276,"North Carolina","Durham County"
"15","FeatureCollection Feature Point",36.0193101,-78.9136193,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086760","DYE CREEK AT GUESS ROAD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086760/",0,0,"North Carolina","Durham County"
"16","FeatureCollection Feature Point",36.0218108,-78.8705629,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086770","ELLERBE CREEK AT SR1709 NR DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086770/",1,9,"North Carolina","Durham County"
"17","FeatureCollection Feature Point",36.0037552,-78.8802853,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086790","GOOSE CREEK AT EAST GEER ST, DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086790/",0,0,"North Carolina","Durham County"
"18","FeatureCollection Feature Point",36.0298333,-78.8636944,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208682450","ELLERBE CR BELOW SECONDARY RD 1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208682450/",4,283,"North Carolina","Durham County"
"19","FeatureCollection Feature Point",36.0320556,-78.8620556,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086833","ELLERBE CREEK 0.33 MI BELOW SR1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086833/",2,76,"North Carolina","Durham County"
