"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-NC","USGS North Carolina Water Science Center","USGS-02085039","ENO RIVER AT COLE MILL RD NR HUCKLEBERRY SPRING","Stream",NA,"03020201",120.79,"sq mi",NA,NA,36.05941667,-78.9780833,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391920","NANCY RHODES CR ABV ROCKY SPRINGS RD AT DURHAM, NC","Stream",NA,"03020201",NA,NA,NA,NA,36.03994444,-78.9778333,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",465,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391940","NANCY RHODES CREEK ABV FERRAND DRIVE AT DURHAM, NC","Stream",NA,"03020201",NA,NA,NA,NA,36.04313889,-78.9746111,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",450,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-NC","USGS North Carolina Water Science Center","USGS-020850391960","NANCY RHODES CR TRIB ADJ FERRAND DR AT DURHAM, NC","Stream",NA,"03020201",0.07,"sq mi",NA,NA,36.04175,-78.9742222,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",445,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-NC","USGS North Carolina Water Science Center","USGS-0208503920","NANCY RHODES CR ABOVE COLE MILL ROAD NR DURHAM, NC","Stream",NA,"03020201",0.35,"sq mi",NA,NA,36.04791667,-78.9702778,24000,0.5,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",424,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-NC","USGS North Carolina Water Science Center","USGS-0208503990","ENO RIVER TRIB BL CLOVER HILL PLACE NR DURHAM, NC","Stream",NA,"03020201",0.098,"sq mi",NA,NA,36.0734722,-78.9516111,24000,0.5,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",424,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-NC","USGS North Carolina Water Science Center","USGS-02085064","BLACK MEADOW RUN ABOVE VALLEY DRIVE AT DURHAM, NC","Stream",NA,"03020201",0.31,"sq mi",NA,NA,36.0579722,-78.9103333,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",365,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-NC","USGS North Carolina Water Science Center","USGS-02085066","BLACK MEADOW RUN ABOVE ARGONNE DRIVE AT DURHAM, NC","Stream",NA,"03020201",0.36,"sq mi",NA,NA,36.06030556,-78.9100278,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",360,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-NC","USGS North Carolina Water Science Center","USGS-02085067","BLACK MEADOW RUN AT ARGONNE DRIVE NEAR DURHAM, NC","Stream",NA,"03020201",0.313,"sq mi",NA,NA,36.06291667,-78.9102222,24000,0.5,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",371,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-NC","USGS North Carolina Water Science Center","USGS-02085070","ENO RIVER NEAR DURHAM, NC","Stream",NA,"03020201",141,"sq mi",NA,NA,36.0722222,-78.9077778,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",269.92,"feet",0.01,"feet","Level or other surveyed method.","NAVD88","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
