,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime
1,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0000205-1977,Sample,Water,NA,1/6/77,11:25:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Zinc,Total,390,ug/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
2,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0000828-1977,Sample,Water,NA,1/20/77,10:10:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Zinc,Total,180,ug/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
3,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0002558-1977,Sample,Water,NA,3/1/77,10:00:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Zinc,Total,0,ug/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,50,ug/l,NA,STORET,NA,NA
4,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0003868-1977,Sample,Water,NA,4/4/77,11:20:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Phosphate-phosphorus as P,Total,0.25,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
5,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0013942-1977,Sample,Water,NA,9/20/77,10:45:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Inorganic nitrogen (nitrate and nitrite) as N,Total,0.18,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
6,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0013050-1977,Sample,Water,NA,9/1/77,11:00:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Inorganic nitrogen (nitrate and nitrite) as N,Total,0,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,0.05,mg/l,NA,STORET,NA,NA
7,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0009248-1977,Field Msr/Obs,Water,NA,7/7/77,11:35:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Dissolved oxygen (DO),Dissolved,4.5,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
8,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0002803-1977,Sample,Water,NA,3/7/77,10:00:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Phosphate-phosphorus as P,Total,0.27,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
9,21NC01WQ,NCDENR-DWQ,21NC01WQ-1976-0012940-1976,Sample,Water,NA,10/4/76,0:00:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Inorganic nitrogen (nitrate and nitrite) as N,Total,0,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,0.05,mg/l,NA,STORET,NA,NA
10,21NC01WQ,NCDENR-DWQ,21NC01WQ-1976-0014218-1976,Sample,Water,NA,10/21/76,10:45:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Inorganic nitrogen (nitrate and nitrite) as N,Total,0.62,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
11,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0000563-1977,Sample,Water,NA,1/13/77,9:45:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Inorganic nitrogen (nitrate and nitrite) as N,Total,0.86,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
12,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0001245-1977,Sample,Water,NA,1/31/77,11:05:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Inorganic nitrogen (nitrate and nitrite) as N,Total,0.34,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
13,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0003806-1977,Sample,Water,NA,3/31/77,11:30:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Inorganic nitrogen (nitrate and nitrite) as N,Total,0.49,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
14,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0003093-1977,Sample,Water,NA,3/10/77,10:50:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Inorganic nitrogen (nitrate and nitrite) as N,Total,0.51,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
15,21NC01WQ,NCDENR-DWQ,21NC01WQ-1976-0013452-1976,Sample,Water,NA,10/11/76,11:00:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Orthophosphate as PO4,Total,0,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,0.05,mg/l,NA,STORET,NA,NA
16,21NC01WQ,NCDENR-DWQ,21NC01WQ-1976-0013840-1976,Sample,Water,NA,10/14/76,10:35:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Zinc,Total,210,ug/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
17,21NC01WQ,NCDENR-DWQ,21NC01WQ-1976-0016677-1976,Sample,Water,NA,12/9/76,11:10:00,NA,NA,NA,NA,0.33,ft,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-J1270000,NA,NA,NA,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Zinc,Total,200,ug/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,NA,NA
